"X33333","X66667","X1e.05"
"655",585,456,456
"656",412,131,926
"657",432,603,131
"658",793,631,603
"659",16,414,631
"660",820,57,414
"661",772,467,57
"662",625,440,467
"663",911,759,440
"664",46,246,759
"665",216,375,246
"666",59,225,375
"667",399,657,225
"668",812,950,657
"669",447,162,950
"670",80,768,162
"671",116,213,768
"672",727,54,213
"673",782,127,54
"674",457,888,127
"675",40,840,888
"676",222,274,840
"677",913,903,274
"678",899,796,903
"679",582,417,796
"680",932,441,417
"681",332,598,441
"682",857,147,598
"683",416,15,147
"684",218,253,15
"685",896,17,253
"686",62,644,17
"687",654,519,644
"688",817,303,519
"689",677,736,303
"690",569,137,736
"691",696,232,137
"692",239,277,232
"693",565,186,277
"694",50,88,186
"695",763,815,88
"696",784,90,815
"697",121,653,90
"698",586,111,653
"699",504,10,111
"700",235,525,10
"701",283,863,525
"702",819,808,863
"703",400,324,808
"704",60,25,324
"705",855,753,25
"706",194,757,753
"707",774,814,757
"708",833,636,814
"709",559,760,636
"710",458,856,760
"711",593,431,856
"712",498,526,431
"713",800,481,526
"714",267,664,481
"715",834,650,664
"716",532,493,650
"717",108,776,493
"718",207,480,776
"719",557,773,480
"720",223,266,773
"721",122,164,266
"722",150,927,164
"723",566,699,927
"724",790,248,699
"725",921,540,248
"726",334,915,540
"727",556,79,915
"728",547,82,79
"729",801,588,82
"730",871,205,588
"731",312,721,205
"732",4,386,721
"733",711,695,533
"734",183,920,632
"735",505,851,103
"736",904,908,84
"737",705,179,594
"738",56,640,391
"739",584,353,87
"740",561,87,353
"741",658,391,640
"742",670,594,179
"743",646,84,851
"744",373,103,908
"745",508,632,920
"746",523,533,695
"747",198,701,386
"748",325,273,701
"749",510,298,273
"750",371,573,298
"751",100,555,573
"752",475,828,555
"753",92,244,828
"754",219,722,244
"755",68,897,722
"756",939,1,897
"757",630,449,1
"758",251,626,449
"759",152,785,626
"760",810,167,785
"761",884,803,167
"762",676,846,803
"763",512,348,846
"764",703,26,348
"765",878,86,26
"766",662,943,86
"767",560,577,943
"768",202,395,577
"769",321,154,395
"770",429,620,154
"771",126,32,620
"772",385,295,32
"773",661,307,295
"774",378,575,307
"775",615,622,575
"776",742,792,622
"777",377,879,792
"778",376,629,879
"779",918,537,629
"780",278,382,537
"781",882,925,382
"782",483,145,925
"783",433,849,145
"784",546,293,849
"785",252,516,293
"786",290,648,516
"787",355,220,648
"788",230,153,220
"789",543,484,153
"790",669,744,484
"791",69,666,744
"792",928,110,666
"793",758,860,110
"794",712,453,860
"795",78,901,453
"796",709,521,901
